PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
AU2010-241272B2,AU,20/04/2017,2017,05/11/2010,YANG TAI HER,YANG TAI-HER,,,Granted Patent,F28D20/0034;;F28D20/0034;;F24T10/30;;F24T10/30;;F28D20/0052;;F28D20/0052;;F28F2270/00;;Y02E10/10;;Y02E10/10;;Y02E60/14;;Y02E60/14,F28D20/00;;F24V50/00,
AU2009-339275B2,AU,27/06/2013,2013,15/10/2009,SHELL INT RESEARCH,LOPEZ JORGE LOUIS;;WILLS PETER BERKELEY,,,Granted Patent,E21B47/113;;E21B47/113;;G01H9/004;;G01V1/003;;G01V1/168;;G01V8/16;;G01V8/16;;G01V8/16,G01V1/28;;G01V1/16;;G01V1/22,
AU2014-413962A1,AU,15/06/2017,2017,19/12/2014,HALLIBURTON ENERGY SERV INC,JAMISON DALE E,,,Patent Application,E21B21/08;;E21B7/00;;E21B21/08;;E21B21/08;;E21B47/00;;E21B47/00;;E21B47/06;;E21B47/06;;E21B47/06;;E21B47/07;;E21B49/00;;E21B49/08;;E21B49/0875;;G01N11/14,E21B21/06;;E21B21/08,
BR102015031872A2,BR,16/08/2016,2016,18/12/2015,BOEING CO,CHAN ERIC YUEN-JUN,,,Patent Application,B65D65/38;;B64D37/005;;B64D37/04;;G01F23/292;;G01F23/164;;G01F23/164;;G01K1/00;;G01K11/32;;G01K11/32;;G01L9/0079;;G01L9/0079;;G01N9/00;;G01N21/65;;G01N21/65;;G01N33/00,G01D5/353,
CA2839682A1,CA,17/01/2013,2013,31/05/2012,BAKER HUGHES INC,DUNCAN ROGER GLEN;;CHILDERS BROOKS A,,,Patent Application,G01D5/35367;;G01D5/35374;;G01D5/35387;;G01D5/35374;;G01D5/35367;;G01D5/35387;;G01D5/35303;;H04B10/25;;G01D5/35387;;G01D5/35367;;G01D5/35374,E21B47/135;;G08C23/06,
CA2688005A1,CA,30/07/2010,2010,04/12/2009,HUSKY INJECTION MOLDING,BLAGOJEVIC DRAGAN,,,Patent Application,,F15B1/26,
CA2920871A1,CA,19/02/2015,2015,15/08/2014,UNIV TEXAS;;MESA PHOTONICS LLC,ROMANAK KATHERINE;;BOMSE DAVID;;EDIGER MARWOOD N,,,Patent Application,G02B6/02328;;G01J3/0205;;G01J3/0218;;G01J3/44;;G01N21/65;;G01N30/16;;G01N33/0036;;G01N33/0036;;G01N2021/651;;G01N2201/06113;;G01N2201/08;;G02B6/02347;;G02B2006/12138,C03B37/027;;G01J3/44;;G01N21/35;;G01N21/65;;G02B6/02,
CA2568349A1,CA,08/12/2005,2005,17/05/2005,CIDRA CORP,GYSLING DANIEL L,,,Patent Application,G01N9/36;;G01N9/36;;G01F1/74;;G01F1/74;;G01N9/24;;G01N9/24;;G01N15/06;;G01N15/06;;G01N33/2823;;G01N33/2823;;G01N33/343;;G01N33/343,G01F1/74;;G01F1/66;;G01N9/24;;G01N15/06;;G01N33/28;;G01N33/34,
CA2513094A1,CA,27/05/2004,2004,12/11/2003,CIDRA CORP,BAILEY TIMOTHY J;;DAVIS MICHAEL A;;KERSEY ALAN D;;FERNALD MARK R,,,Patent Application,G01F1/668;;G01F1/666;;G01F1/7082;;G01F1/712;;G01F1/74,G01F1/66;;G01F1/708;;G01F1/712;;G01F1/74,
CA2513094C,CA,06/08/2013,2013,12/11/2003,CIDRA CORP,FERNALD MARK R;;DAVIS MICHAEL A;;KERSEY ALAN D;;BAILEY TIMOTHY J,,,Granted Patent,G01F1/668;;G01F1/666;;G01F1/7082;;G01F1/712;;G01F1/74,G01F1/74;;G01F1/66;;G01F1/708;;G01F1/712,
CA2078029A1,CA,13/03/1993,1993,11/09/1992,ATLANTIC RICHFIELD CO,KOLPAK MIROSLAV M;;HETHERINGTON WILLIAM D,,,Patent Application,B01D17/0214;;E21B43/34;;G01F15/08;;Y10T137/0324;;Y10T137/0324;;Y10T137/3006;;Y10T137/3006,B01D17/02;;B01D17/025;;E21B43/34;;G01F15/08,
CA2863486A1,CA,17/11/2014,2014,12/09/2014,ATHABASCA OIL CORP,BUJOLD MAURICE A;;MACDONALD JUSTIN DAVID;;LOKSZYN SHANE DANIEL,,,Patent Application,E21B23/08;;E21B23/08;;E21B47/01,E21B23/08;;E21B47/01,
CA2950846A1,CA,11/06/2017,2017,07/12/2016,ETHICAL SOLUTIONS LLC,SOCCI DANIEL J;;HOLCOMB JENNIFER L,,,Patent Application,C09K8/524;;C09K8/524;;C09K8/035;;C09K8/035;;C09K8/40;;C09K8/40;;C09K8/52;;C09K8/528;;C09K8/528;;C09K8/532;;C09K8/532;;C09K8/58;;C09K8/58;;C09K8/60;;C09K8/60;;C09K8/601;;C09K8/601;;C09K8/62;;C09K8/62;;C09K8/86;;C09K8/86;;C09K2208/20;;C09K2208/20;;E21B21/00;;E21B37/06;;E21B43/26;;E21B43/267,E21B43/25;;E21B43/267;;E21B43/27;;E21B43/32,
CA1237627A,CA,07/06/1988,1988,01/09/1983,KOBE STEEL LTD,NAKANISHI SADAYUKI;;FUKUNAGA AKIO,,,Granted Patent,F16K37/00;;F15B1/08;;F15B11/0725;;F15B2201/305;;F15B2211/6306;;F16K31/124,F16K31/163;;F16K31/122;;F16K31/124;;F16K37/00,137-39.1
CA2828717A1,CA,13/09/2012,2012,08/03/2011,LANDMARK GRAPHICS CORP,LOGAN RICHARD B;;INGRAM STEPHEN R;;PAULK MARTIN D;;RAJA HAMAYUN Z,,,Patent Application,E21B7/046;;E21B7/046;;E21B7/04;;E21B7/10;;E21B47/0224,E21B7/08;;E21B29/06,
CA1220646A,CA,21/04/1987,1987,13/07/1984,ALBERTA OIL SANDS TECH,SCOTT DONALD S;;RHODES EDWARD,,,Granted Patent,G01F1/40;;G01F1/36;;G01F1/74;;G01F15/08,G01F1/36;;G01F1/40;;G01F1/74;;G01F15/08,73-132
CA2300683A1,CA,15/09/2000,2000,14/03/2000,TEMPRESS TECHNOLOGIES INC,KOLLE JACK J,,,Patent Application,C09K8/38;;C09K8/38;;E21B21/063;;E21B21/063;;E21B21/16;;E21B21/16;;Y02P20/54;;Y02P20/54,C09K8/38;;E21B7/18;;E21B21/06;;E21B21/16;;E21B37/00,
CA3044153A1,CA,04/01/2020,2020,23/05/2019,EAVOR TECH INC,TOEWS MATTHEW;;CAIRNS PAUL;;ANDREWS PETER;;CURTIS-SMITH ANDREW;;HALE JONATHAN,,,Patent Application,E21B33/13;;E21B33/138;;E21B43/305;;C09K8/5045;;C09K8/572;;C04B28/26;;F24T10/13;;F24T2010/53;;F24T50/00;;Y02E10/10;;Y02W30/91;;E21B33/138;;E21B43/305;;C04B28/26;;C09K8/08;;C09K8/40;;C09K8/424;;C09K8/46;;C09K8/5045;;C09K8/572;;F24T10/13;;F24T50/00;;F24T2010/53;;E21B33/138;;E21B43/305;;F24T10/10;;C09K8/08;;F24T2010/50;;C09K8/40;;C09K8/424;;F24T2010/53;;C09K8/46;;Y02W30/91;;F24T10/13;;Y02E10/10;;F24T50/00,E21B33/138;;C09K5/00;;C09K8/50;;C09K8/72;;E21B21/00;;E21B43/30;;F03G4/02;;F24T10/20;;F24T50/00,
CA1292774C,CA,03/12/1991,1991,16/02/1988,WALKER CHARLES W E,WALKER CHARLES W E,,,Granted Patent,,G01N22/04;;G01R25/04;;G01R27/04,D432400298   M;;3510026    S
CA933146A,CA,04/09/1973,1973,19/06/1970,BECKER DRILLS LTD,BECKER N,,,Granted Patent,E21B21/12;;E21B7/20,E21B7/20;;E21B21/12,255-8
CA2257442A1,CA,15/07/1999,1999,13/01/1999,GEOFURNACE SYSTEMS INC,WESTON DENNIS L;;KIESSEL THOMAS G;;AMBS REX K,,,Patent Application,F24F5/0046;;F25B13/00;;F25B30/06;;F25B2313/002;;F25B2313/0213;;F25B2313/025;;F25B2313/0292;;F25B2313/0293;;F25B2313/0294;;F25B2600/2501;;Y02B10/40;;F24T10/10;;F24V50/00;;F24T10/30;;Y02E10/10;;F24F5/0046;;F25B2313/025;;F25B2600/2501;;F25B2313/0294;;F25B13/00;;F25B2313/002;;F25B2313/0293;;F25B30/06;;F25B2313/0292;;F25B2313/0213;;Y02B10/40;;F24T10/10;;F24V50/00;;Y02E10/10;;F24T10/30,F24F5/00;;F24V50/00;;F25B13/00;;F25B30/06,
CA2128178A1,CA,16/01/1996,1996,15/07/1994,GRENIER MICHEL A,GRENIER MICHEL A,,,Patent Application,F24F2005/0057;;F25B13/00;;F25B30/06;;F25B40/04;;F25B41/00;;F25B49/027;;F25B2313/002;;F25B2313/025;;F25B2400/051;;F25B2400/16;;F25B2400/19;;F25B2500/01;;F25B2500/15;;F25B2600/17;;F25B2600/2517;;Y02B10/40;;F24T10/10;;F24T10/30;;Y02E10/10;;F25B41/00;;F25B2500/01;;F25B40/04;;F25B2400/19;;F25B2500/15;;F25B2313/002;;F24F2005/0057;;F25B2600/17;;F25B2600/2517;;F25B2400/051;;F25B13/00;;F25B30/06;;F25B49/027;;F25B2400/16;;F25B2313/025;;Y02B10/40;;F24T10/10;;Y02E10/10;;F24T10/30,F25B13/00;;F25B30/06;;F25B40/04;;F25B41/00;;F25B41/04;;F25B49/02,
CA2747426C,CA,23/05/2017,2017,14/12/2009,EXXONMOBIL UPSTREAM RES CO,JING CHARLIE;;CARAZZONE JIM J;;RUMPFHUBER EVA-MARIA;;SALTZER REBECCA L;;DICKENS THOMAS A;;MULLUR ANOOP A,,,Granted Patent,G01V1/28;;G01V1/28;;G01V1/28;;G01V1/288;;G01V1/288;;G01V1/288;;G01V11/00;;G01V11/00;;G01V11/00;;G01V2210/123;;G01V2210/123;;G01V2210/123,G01V1/30;;E21B49/00;;G01V1/32;;G01V11/00,
CA2882008A1,CA,13/08/2016,2016,13/02/2015,RAYMOND JASMIN;;SOCOVAR SOC,RAYMOND JASMIN;;LAMARCHE LOUIS,,,Patent Application,E21B47/07;;G01N25/18;;H05B3/56,G01N25/00;;E21B47/07;;H05B3/56,
CH673700A5,CH,30/03/1990,1990,12/05/1987,STEINEMANN AG,BRINER THEO,,,Granted Patent,F24D11/001;;F24D11/001;;Y02B30/17;;Y02B30/17;;Y02P80/14;;Y02P80/14,F24D11/00,
CH593484A5,CH,15/12/1977,1977,22/09/1976,THOMANN CHRISTOPH,,,,Granted Patent,G01N25/4846;;G01K17/04,G01K17/04;;G01N25/48,
CN108827856A,CN,16/11/2018,2018,02/07/2018,UNIV CHINA PETROLEUM BEIJING,ZHANG YANJUN;;SHEN YINGHAO;;WU JINQIAO;;ZHANG FENGSAN,,,Patent Application,E21B43/26;;G01N15/082,G01N15/08;;E21B43/26,
CN113431494A,CN,24/09/2021,2021,02/08/2021,UNIV CHINA MINING,LIU YINGKE;;LI JIAN;;WANG QINGXIANG;;ZHOU FUBAO;;JIANG MINGJUN;;GAO FENG;;YUAN MAN;;NIU YUE;;WANG FENGCHAO,,,Patent Application,E21B7/04;;E21B7/18;;E21B17/20;;E21B23/001;;E21C25/60;;E21F13/042;;F17D1/14,E21B7/04;;E21B7/18;;E21B17/20;;E21B23/00;;E21C25/60;;E21F13/04;;F17D1/14,
CN112414863A,CN,26/02/2021,2021,18/12/2020,CHINA NAT PETROLEUM CORP;;CNPC CHUANQING DRILLING ENG CO,ZHU MINGMING;;ZHANG QIN;;SUN HUAN;;SUN YAN;;ZHANG JIANQING;;LI XUEGANG;;QU YANPING;;LI BAOBAO;;HOU BO;;LIU BO;;JIN HU;;WANG CHENGXIN;;LI DEBO;;LIU HONGYAN,,,Patent Application,G01N3/18;;G01N3/02;;G01N2203/0003;;G01N2203/0019;;G01N2203/0044;;G01N2203/0067;;G01N2203/0092;;G01N2203/0226;;G01N2203/0682,G01N3/18;;G01N3/02,
CN105572030A,CN,11/05/2016,2016,14/12/2015,PETROCHINA CO LTD,CHEN XIAOKAI;;YUAN LIYING;;TONG SONG;;YANG YONG;;WANG HAO;;LIU YING;;HE MENGQI;;YANG LIANXING;;LIU JINGWEI;;YANG LILONG;;LIU LIN;;LI WEI;;FENG LI;;WANG YU;;LIU HAIJUN,,,Patent Application,G01N19/00,G01N19/00,
CN102996116A,CN,27/03/2013,2013,06/12/2012,UNIV YANGTZE,LOU YISHAN;;ZHAI XIAOPENG;;WANG LIHUA;;MA XIAOYONG;;LI ZHONGHUI;;ZHU LIANG;;XING JIGUO;;ZHANG YAN;;WU HUIMEI;;HUANG WANLONG;;HAO HONGYONG,,,Patent Application,,E21B47/00;;E21B49/00,
CN106324189A,CN,11/01/2017,2017,03/07/2015,CHINA PETROLEUM & CHEM CORP;;SINOPEC RES INST PETROLEUM ENG,CAI LISHAN;;REN LIWEI;;CHEN ZENGWEI;;LIN YONGXUE;;YANG XIAOHUA;;WANG LIN,,,Patent Application,,G01N33/00,
CN108387685A,CN,10/08/2018,2018,24/01/2018,UNIV CHINA PETROLEUM EAST CHINA,ZHAO XIN;;QIU ZHENGSONG;;WANG MINGLIANG;;ZHONG HANYI;;GAO JIAN;;HUANG WEI'AN,,,Patent Application,G01N33/00;;G01N3/08;;G01N15/0826,G01N33/00;;G01N3/08;;G01N15/08,
CN107740684A,CN,27/02/2018,2018,15/09/2017,CHINA NAT OFFSHORE OIL CORP;;ZHANJIANG BRANCH OF CHINA NAT OFFSHORE OIL CORPORATION,WEI LONGGUI;;HUANG KAIWEN;;CHEN LI;;DENG WENBIAO;;HAN CHENG;;XU FABIN;;LIU XIANYU;;XU JING;;YANG ZHONGHAN;;LI WENTUO,,,Patent Application,E21B43/04;;E21B47/005,E21B43/04;;E21B47/005,
CN103344554A,CN,09/10/2013,2013,03/07/2013,CHINA NAT OFFSHORE OIL CORP;;CHINA OILFIELD SERVICES LTD,CHEN YUANBO;;ZHANG XINGLAI;;MIAO HAILONG;;XIANG TAO;;DUAN LIANCHAO;;GENG TIE;;XU BOTAO,,,Patent Application,,G01N19/00;;G01N19/04,
CN105424579A,CN,23/03/2016,2016,02/12/2015,CHINA UNIV OF GEOSCIENCES (WUHAN),LYU SHUAIFENG;;WANG SHENGWEI;;WANG DAOKUAN;;ZHANG FENG;;ZHANG XIAOFENG,,,Patent Application,G01N15/082,G01N15/08,
CN111472752A,CN,31/07/2020,2020,27/05/2020,UNIV SOUTHWEST PETROLEUM,WANG GUI;;HUANG YINJIAN;;XU SHENGJIANG,,,Patent Application,E21B47/00;;E21B47/12,E21B47/00;;E21B47/12;;G06F30/20,
CN106290146A,CN,04/01/2017,2017,13/05/2015,CHINA PETROLEUM & CHEM CORP;;SINOPEC RES INST PETROLEUM ENG,CAI LISHAN;;REN LIWEI;;CHEN ZENGWEI;;DONG XIAOQIANG;;LIN YONGXUE;;WANG WENLI;;ZHANG FENGYING;;YANG XIAOHUA;;CHAI LONG,,,Patent Application,,G01N19/04,
CN102400677A,CN,04/04/2012,2012,13/10/2011,CNPC XIBU DRILLING ENG CO LTD,SHUANGJUN ZHOU;;YUKE TANG;;XIANDONG ZHOU;;LU ZHANG;;HAITAO WANG,,,Patent Application,,E21B47/117,
CN111175208A,CN,19/05/2020,2020,24/12/2019,CHINA UNIV OF GEOSCIENCES (BEIJING),YANG HAO;;DONG XIAOHUI;;CHEN ZHIPENG;;WANG JINJIE,,,Patent Application,G01N15/0826,G01N15/08,
CN111579875A,CN,25/08/2020,2020,28/06/2020,UNIV SOUTHWEST PETROLEUM,LAN KUNXIANG;;YANG YAN;;ZHU KUANLIANG;;YU WENYAN;;LI LUKUAN;;ZHANG XINGGUO,,,Patent Application,G01R27/22;;G01N27/07,G01R27/22;;G01N27/07,
CN113029793A,CN,25/06/2021,2021,02/03/2021,UNIV CHINA PETROLEUM BEIJING,FENG YONGCUN;;MA CHENGYUN;;DENG JINGEN;;LI XIAORONG,,,Patent Application,G01N3/12;;G01N1/286;;G01N3/04;;G01N2203/0048;;G01N2203/0062;;G01N2203/0647,G01N3/12;;G01N1/28;;G01N3/04,
CN110129014A,CN,16/08/2019,2019,14/05/2019,SICHUAN WEITAI KECHUANG PETROLEUM EQUIPMENT MFG CO LTD,WU XIAOQIN;;ZENG QIJUN,,,Patent Application,C09K8/03;;C09K8/5045;;C09K2208/08;;C09K2208/10;;E21B47/005,C09K8/03;;C09K8/504;;E21B47/005,
CN114075975A,CN,22/02/2022,2022,19/01/2022,中国石油大学（华东）,王子振;;陈冠霖;;王成文;;王瑞和;;王翔;;李德红;;周卫东;;李明忠;;张辉;;宋文宇,,,Patent Application,,E21B49/00,
CN102518432A,CN,27/06/2012,2012,23/12/2011,UNIV SOUTHWEST PETROLEUM,ZAOYUAN LI;;XIAOYANG GUO;;ZHIZHONG DENG;;XIAOWEI CHENG;;XUHUA YANG;;MING LI;;YOUJIAN LIN;;TAO GU;;QIYANG ZHAO,,,Patent Application,,E21B49/00;;E21B33/13,
CN103485762A,CN,01/01/2014,2014,08/06/2012,CHINA PETROLEUM & CHEMICAL;;SINOPEC RES INST PETROLEUM,SHI BINGZHONG;;XU JIANG;;LIN YONGXUE;;LIU SIHAI;;LIU JINHUA;;REN LIWEI,,,Patent Application,,E21B47/002;;E21B49/00,
CN102725475A,CN,10/10/2012,2012,27/01/2011,TECHNICAL DRILLING TOOLS LTD,DAVID JEKIELEK,,,Patent Application,E21B17/07;;E21B47/017;;E21B17/07;;E21B47/017,E21B17/07;;E21B10/00;;E21B17/01,
CN111335838A,CN,26/06/2020,2020,25/03/2020,SHENZHEN GONGKAN GEOTECHNICAL GROUP CO LTD;;SHENZHEN SUNHUI MECH CO LTD,TONG XIN;;SHANG ZENGDI;;LEI BIN;;HUANG KAI;;LI BO;;LI XINYUAN;;LIU ZHIJUN;;YANG JING,,,Patent Application,E21B31/20;;E21B17/021,E21B31/20;;E21B17/02,
CN102562040A,CN,11/07/2012,2012,02/02/2012,UNIV SOUTHWEST PETROLEUM,YILI KANG;;LIJUN YOU;;DAQI LI;;SONG LI;;YIJIAN CHEN;;XIANGCHEN LI;;CHENGYUAN XU,,,Patent Application,,E21B47/10,
CN101950034A,CN,19/01/2011,2011,16/08/2010,PETROCHINA CO LTD,WENLING LIU,,,Patent Application,,G01V1/36;;G01V1/40,
CN101900589A,CN,01/12/2010,2010,29/04/2010,UNIV CHINA PETROLEUM,WEIWEI WANG;;PING WANG;;DONGSHUN REN;;SHANGCHUN FAN;;XIAOQIAN ZHU,,,Patent Application,,G01F1/84;;G06N3/02,
CN110763294A,CN,07/02/2020,2020,29/10/2019,48TH RES INST CHINA ELECTRONICS TECHNOLOGY GROUP CORP,LI JIANBIN;;ZHANG LONGCI;;HE FENG,,,Patent Application,G01F5/00;;G01F5/005,G01F5/00,
CN101900581A,CN,01/12/2010,2010,27/05/2010,SCHLUMBERGER TECHNOLOGY CORP,GARY ODDIE,,,Patent Application,G01F1/44;;G01F1/74;;G01F1/74;;G01F1/44,G01F1/34,
CN102305645A,CN,04/01/2012,2012,26/07/2011,UNIV HEBEI,LIDE FANG;;XIAOTING LI;;LILI PANG;;XIUMING XIANG,,,Patent Application,,G01F1/36;;G01N22/00;;G01N27/22,
CN104266702A,CN,07/01/2015,2015,11/09/2014,UNIV XI AN JIAOTONG,BAI BOFENG;;HE DENGHUI,,,Patent Application,,G01F7/00;;G01N33/00,
CN102346058A,CN,08/02/2012,2012,29/07/2010,UNIV CHINA PETROLEUM,WEIWEI WANG;;PING WANG;;DONGSHUN REN;;SHANGCHUN FAN;;XIAOQIAN ZHU,,,Patent Application,,G01F1/86,
CN104406053A,CN,11/03/2015,2015,04/12/2014,XU LIHUA;;LIANG JUN;;ZHANG LEI;;YU ZHIMING;;ZHANG SUOZHUANG,XU LIHUA;;LIANG JUN;;ZHANG LEI;;YU ZHIMING;;ZHANG SUOZHUANG;;LIN WENHUA;;LI GUOQIANG;;JIANG LIANHUA,,,Patent Application,,F17D3/01,
CN104932584A,CN,23/09/2015,2015,05/06/2015,ZHUHAI GREE ELEC APPLIANCES,GAN GUOQING;;ZHANG WEIBIN,,,Patent Application,,G05D23/24,
CN104405351A,CN,11/03/2015,2015,13/11/2014,KAN XUEPING,KAN XUEPING,,,Patent Application,E21B43/162,E21B43/22,
CN113029382A,CN,25/06/2021,2021,26/02/2021,UNIV TONGJI,YIN HAILONG;;XU ZUXIN;;GUO LONGTIAN;;XIE MING,,,Patent Application,G01K11/32;;G01N15/08;;G01N13/04,G01K11/32;;G01N13/04;;G01N15/08,
CN105115675A,CN,02/12/2015,2015,11/09/2015,CHINA PETROLEUM & CHEMICAL;;CHINA PETROLEUM & CHEMICAL,TAO BIN;;LANG XUQING;;CHENG QINGLI;;ZHANG YUPING;;JIA GUANG;;ZHEN YONGQIAN;;ZHANG WEIHUA,,,Patent Application,,G01M3/16,
CN106197649A,CN,07/12/2016,2016,25/07/2016,BEIJING ZHONGCHENG SENSING INFORMATION TECH CO LTD,SONG XINJIAN;;WU YU;;PENG FEI,,,Patent Application,G01H9/004,G01H9/00,
CN104125014A,CN,29/10/2014,2014,28/04/2013,SHANGHAI BOOM FIBER SENSING TE,ZHANG XULIANG;;LIN DONG;;ZHOU ZHENGXIAN,,,Patent Application,,H04B10/077;;H04B10/071,
CN107727124A,CN,23/02/2018,2018,31/08/2017,UNIV ELECTRONIC SCI & TECH CHINA,ZHANG YANG;;ZHANG QIAN;;WU YU;;LIU ZONGHAO,,,Patent Application,G01D5/36,G01D5/36,
CN109936636A,CN,25/06/2019,2019,14/03/2019,GUANGDONG JUYUAN PIPE CO LTD,TANG TIEHUI;;ZHONG FENG,,,Patent Application,,H04L29/08;;H04B10/079,
