PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType
AT519027B1,AT,15/01/2019,2019,19/08/2016,MARTIN TORNER,,,,Granted Patent
AT519027A1,AT,15/03/2018,2018,19/08/2016,MARTIN TORNER,,,,Patent Application
AU728895B2,AU,18/01/2001,2001,19/12/1997,MOBIL OIL CORP,HEINEMANN ROBERT FREDERICK;;HUANG DAVID DA-TEH;;LONG JINGPING;;SAEGER ROLAND BERNARD,,,Granted Patent
AU2012-365103B2,AU,04/08/2016,2016,28/12/2012,JAPAN NEW ENERGY CO LTD,TAHARA CHINEO;;YOKOMINE TAKEHIKO,,"JAPAN NEW ENERGY CO., LTD. (2016-11-03)",Granted Patent
AU686989B3,AU,12/02/1998,1998,02/10/1997,HADOARP PTY LTD TRUSTEE FOR THE SUTHERS FAMILY TRUST,SUTHERS RODERICK JOHN,,,Limited Patent
AU2010-345083B2,AU,10/03/2016,2016,19/10/2010,EXXONMOBIL UPSTREAM RES CO,CHENG YAO-CHOU;;HOLL JAMES E;;DISCHINGER JOE D;;SEQUEIRA JOSE J,,,Granted Patent
AU2015-224225B2,AU,26/10/2017,2017,10/02/2015,MAEKAWA SEISAKUSHO KK,KATAOKA MASAKI;;ONO YUJI;;YOKOYAMA TAKASHI;;WATANABE HIROSHI,,,Granted Patent
AU2013-315603B2,AU,16/06/2016,2016,11/09/2013,HALLIBURTON ENERGY SERVICES INC,MURPHY ROBERT,,,Granted Patent
AU2014-287199B2,AU,11/08/2016,2016,10/07/2014,HALLIBURTON ENERGY SERVICES INC,RAVI KRISHNA M;;GUILLORY BRITTNEY N;;BOUL PETER JAMES;;SANTRA ASHOK K,,,Granted Patent
AU2012-285550B2,AU,24/09/2015,2015,12/07/2012,OPTASENSE HOLDINGS LTD,LEWIS ANDREW;;RUSSELL STUART,,,Granted Patent
AU2017-230716B2,AU,25/11/2021,2021,09/03/2017,CONOCOPHILLIPS CO,FRIEHAUF KYLE;;GIBSON MARK R,,,Granted Patent
AU2014-396229B2,AU,23/11/2017,2017,04/06/2014,HALLIBURTON ENERGY SERVICES INC,DUSTERHOFT RONALD GLEN;;WALTERS HAROLD GRAYSON;;RANJAN PRIYESH;;SMITH KEN;;MCCOLPIN GLENN ROBERT,,,Granted Patent
AU2014-396159B2,AU,28/09/2017,2017,04/06/2014,HALLIBURTON ENERGY SERVICES INC,WALTERS HAROLD GRAYSON;;RANJAN PRIYESH;;SMITH KEN,,,Granted Patent
AU2014-396155B2,AU,18/01/2018,2018,04/06/2014,HALLIBURTON ENERGY SERVICES INC,RANJAN PRIYESH;;SMITH KEN,,,Granted Patent
AU2017-206192B2,AU,24/10/2019,2019,19/07/2017,YANG TAI HER,YANG TAI-HER,,,Granted Patent
AU2010-241272B2,AU,20/04/2017,2017,05/11/2010,YANG TAI HER,YANG TAI-HER,,,Granted Patent
AU2009-339275B2,AU,27/06/2013,2013,15/10/2009,SHELL INT RESEARCH,LOPEZ JORGE LOUIS;;WILLS PETER BERKELEY,,,Granted Patent
AU2014-413962A1,AU,15/06/2017,2017,19/12/2014,HALLIBURTON ENERGY SERV INC,JAMISON DALE E,,,Patent Application
BR102015031872A2,BR,16/08/2016,2016,18/12/2015,BOEING CO,CHAN ERIC YUEN-JUN,,,Patent Application
CA2839682A1,CA,17/01/2013,2013,31/05/2012,BAKER HUGHES INC,DUNCAN ROGER GLEN;;CHILDERS BROOKS A,,,Patent Application
CA2688005A1,CA,30/07/2010,2010,04/12/2009,HUSKY INJECTION MOLDING,BLAGOJEVIC DRAGAN,,,Patent Application
CA2920871A1,CA,19/02/2015,2015,15/08/2014,UNIV TEXAS;;MESA PHOTONICS LLC,ROMANAK KATHERINE;;BOMSE DAVID;;EDIGER MARWOOD N,,,Patent Application
CA2568349A1,CA,08/12/2005,2005,17/05/2005,CIDRA CORP,GYSLING DANIEL L,,,Patent Application
CA2513094A1,CA,27/05/2004,2004,12/11/2003,CIDRA CORP,BAILEY TIMOTHY J;;DAVIS MICHAEL A;;KERSEY ALAN D;;FERNALD MARK R,,,Patent Application
CA2513094C,CA,06/08/2013,2013,12/11/2003,CIDRA CORP,FERNALD MARK R;;DAVIS MICHAEL A;;KERSEY ALAN D;;BAILEY TIMOTHY J,,,Granted Patent
CA2078029A1,CA,13/03/1993,1993,11/09/1992,ATLANTIC RICHFIELD CO,KOLPAK MIROSLAV M;;HETHERINGTON WILLIAM D,,,Patent Application
CA2863486A1,CA,17/11/2014,2014,12/09/2014,ATHABASCA OIL CORP,BUJOLD MAURICE A;;MACDONALD JUSTIN DAVID;;LOKSZYN SHANE DANIEL,,,Patent Application
CA2950846A1,CA,11/06/2017,2017,07/12/2016,ETHICAL SOLUTIONS LLC,SOCCI DANIEL J;;HOLCOMB JENNIFER L,,,Patent Application
CA1237627A,CA,07/06/1988,1988,01/09/1983,KOBE STEEL LTD,NAKANISHI SADAYUKI;;FUKUNAGA AKIO,,,Granted Patent
CA2828717A1,CA,13/09/2012,2012,08/03/2011,LANDMARK GRAPHICS CORP,LOGAN RICHARD B;;INGRAM STEPHEN R;;PAULK MARTIN D;;RAJA HAMAYUN Z,,,Patent Application
CA1220646A,CA,21/04/1987,1987,13/07/1984,ALBERTA OIL SANDS TECH,SCOTT DONALD S;;RHODES EDWARD,,,Granted Patent
CA2300683A1,CA,15/09/2000,2000,14/03/2000,TEMPRESS TECHNOLOGIES INC,KOLLE JACK J,,,Patent Application
CA3044153A1,CA,04/01/2020,2020,23/05/2019,EAVOR TECH INC,TOEWS MATTHEW;;CAIRNS PAUL;;ANDREWS PETER;;CURTIS-SMITH ANDREW;;HALE JONATHAN,,,Patent Application
CA1292774C,CA,03/12/1991,1991,16/02/1988,WALKER CHARLES W E,WALKER CHARLES W E,,,Granted Patent
CA933146A,CA,04/09/1973,1973,19/06/1970,BECKER DRILLS LTD,BECKER N,,,Granted Patent
CA2257442A1,CA,15/07/1999,1999,13/01/1999,GEOFURNACE SYSTEMS INC,WESTON DENNIS L;;KIESSEL THOMAS G;;AMBS REX K,,,Patent Application
CA2128178A1,CA,16/01/1996,1996,15/07/1994,GRENIER MICHEL A,GRENIER MICHEL A,,,Patent Application
CA2747426C,CA,23/05/2017,2017,14/12/2009,EXXONMOBIL UPSTREAM RES CO,JING CHARLIE;;CARAZZONE JIM J;;RUMPFHUBER EVA-MARIA;;SALTZER REBECCA L;;DICKENS THOMAS A;;MULLUR ANOOP A,,,Granted Patent
CA2882008A1,CA,13/08/2016,2016,13/02/2015,RAYMOND JASMIN;;SOCOVAR SOC,RAYMOND JASMIN;;LAMARCHE LOUIS,,,Patent Application
CH673700A5,CH,30/03/1990,1990,12/05/1987,STEINEMANN AG,BRINER THEO,,,Granted Patent
CH593484A5,CH,15/12/1977,1977,22/09/1976,THOMANN CHRISTOPH,,,,Granted Patent
CN113431494A,CN,24/09/2021,2021,02/08/2021,UNIV CHINA MINING,LIU YINGKE;;LI JIAN;;WANG QINGXIANG;;ZHOU FUBAO;;JIANG MINGJUN;;GAO FENG;;YUAN MAN;;NIU YUE;;WANG FENGCHAO,,,Patent Application
CN112414863A,CN,26/02/2021,2021,18/12/2020,CHINA NAT PETROLEUM CORP;;CNPC CHUANQING DRILLING ENG CO,ZHU MINGMING;;ZHANG QIN;;SUN HUAN;;SUN YAN;;ZHANG JIANQING;;LI XUEGANG;;QU YANPING;;LI BAOBAO;;HOU BO;;LIU BO;;JIN HU;;WANG CHENGXIN;;LI DEBO;;LIU HONGYAN,,,Patent Application
CN105572030A,CN,11/05/2016,2016,14/12/2015,PETROCHINA CO LTD,CHEN XIAOKAI;;YUAN LIYING;;TONG SONG;;YANG YONG;;WANG HAO;;LIU YING;;HE MENGQI;;YANG LIANXING;;LIU JINGWEI;;YANG LILONG;;LIU LIN;;LI WEI;;FENG LI;;WANG YU;;LIU HAIJUN,,,Patent Application
CN102996116A,CN,27/03/2013,2013,06/12/2012,UNIV YANGTZE,LOU YISHAN;;ZHAI XIAOPENG;;WANG LIHUA;;MA XIAOYONG;;LI ZHONGHUI;;ZHU LIANG;;XING JIGUO;;ZHANG YAN;;WU HUIMEI;;HUANG WANLONG;;HAO HONGYONG,,,Patent Application
CN106324189A,CN,11/01/2017,2017,03/07/2015,CHINA PETROLEUM & CHEM CORP;;SINOPEC RES INST PETROLEUM ENG,CAI LISHAN;;REN LIWEI;;CHEN ZENGWEI;;LIN YONGXUE;;YANG XIAOHUA;;WANG LIN,,,Patent Application
CN108387685A,CN,10/08/2018,2018,24/01/2018,UNIV CHINA PETROLEUM EAST CHINA,ZHAO XIN;;QIU ZHENGSONG;;WANG MINGLIANG;;ZHONG HANYI;;GAO JIAN;;HUANG WEI'AN,,,Patent Application
CN107740684A,CN,27/02/2018,2018,15/09/2017,CHINA NAT OFFSHORE OIL CORP;;ZHANJIANG BRANCH OF CHINA NAT OFFSHORE OIL CORPORATION,WEI LONGGUI;;HUANG KAIWEN;;CHEN LI;;DENG WENBIAO;;HAN CHENG;;XU FABIN;;LIU XIANYU;;XU JING;;YANG ZHONGHAN;;LI WENTUO,,,Patent Application
CN103344554A,CN,09/10/2013,2013,03/07/2013,CHINA NAT OFFSHORE OIL CORP;;CHINA OILFIELD SERVICES LTD,CHEN YUANBO;;ZHANG XINGLAI;;MIAO HAILONG;;XIANG TAO;;DUAN LIANCHAO;;GENG TIE;;XU BOTAO,,,Patent Application
CN105424579A,CN,23/03/2016,2016,02/12/2015,CHINA UNIV OF GEOSCIENCES (WUHAN),LYU SHUAIFENG;;WANG SHENGWEI;;WANG DAOKUAN;;ZHANG FENG;;ZHANG XIAOFENG,,,Patent Application
CN111472752A,CN,31/07/2020,2020,27/05/2020,UNIV SOUTHWEST PETROLEUM,WANG GUI;;HUANG YINJIAN;;XU SHENGJIANG,,,Patent Application
CN106290146A,CN,04/01/2017,2017,13/05/2015,CHINA PETROLEUM & CHEM CORP;;SINOPEC RES INST PETROLEUM ENG,CAI LISHAN;;REN LIWEI;;CHEN ZENGWEI;;DONG XIAOQIANG;;LIN YONGXUE;;WANG WENLI;;ZHANG FENGYING;;YANG XIAOHUA;;CHAI LONG,,,Patent Application
CN102400677A,CN,04/04/2012,2012,13/10/2011,CNPC XIBU DRILLING ENG CO LTD,SHUANGJUN ZHOU;;YUKE TANG;;XIANDONG ZHOU;;LU ZHANG;;HAITAO WANG,,,Patent Application
CN111175208A,CN,19/05/2020,2020,24/12/2019,CHINA UNIV OF GEOSCIENCES (BEIJING),YANG HAO;;DONG XIAOHUI;;CHEN ZHIPENG;;WANG JINJIE,,,Patent Application
CN111579875A,CN,25/08/2020,2020,28/06/2020,UNIV SOUTHWEST PETROLEUM,LAN KUNXIANG;;YANG YAN;;ZHU KUANLIANG;;YU WENYAN;;LI LUKUAN;;ZHANG XINGGUO,,,Patent Application
CN113029793A,CN,25/06/2021,2021,02/03/2021,UNIV CHINA PETROLEUM BEIJING,FENG YONGCUN;;MA CHENGYUN;;DENG JINGEN;;LI XIAORONG,,,Patent Application
CN110129014A,CN,16/08/2019,2019,14/05/2019,SICHUAN WEITAI KECHUANG PETROLEUM EQUIPMENT MFG CO LTD,WU XIAOQIN;;ZENG QIJUN,,,Patent Application
CN114075975A,CN,22/02/2022,2022,19/01/2022,中国石油大学（华东）,王子振;;陈冠霖;;王成文;;王瑞和;;王翔;;李德红;;周卫东;;李明忠;;张辉;;宋文宇,,,Patent Application
CN102518432A,CN,27/06/2012,2012,23/12/2011,UNIV SOUTHWEST PETROLEUM,ZAOYUAN LI;;XIAOYANG GUO;;ZHIZHONG DENG;;XIAOWEI CHENG;;XUHUA YANG;;MING LI;;YOUJIAN LIN;;TAO GU;;QIYANG ZHAO,,,Patent Application
CN103485762A,CN,01/01/2014,2014,08/06/2012,CHINA PETROLEUM & CHEMICAL;;SINOPEC RES INST PETROLEUM,SHI BINGZHONG;;XU JIANG;;LIN YONGXUE;;LIU SIHAI;;LIU JINHUA;;REN LIWEI,,,Patent Application
CN102725475A,CN,10/10/2012,2012,27/01/2011,TECHNICAL DRILLING TOOLS LTD,DAVID JEKIELEK,,,Patent Application
CN111335838A,CN,26/06/2020,2020,25/03/2020,SHENZHEN GONGKAN GEOTECHNICAL GROUP CO LTD;;SHENZHEN SUNHUI MECH CO LTD,TONG XIN;;SHANG ZENGDI;;LEI BIN;;HUANG KAI;;LI BO;;LI XINYUAN;;LIU ZHIJUN;;YANG JING,,,Patent Application
CN102562040A,CN,11/07/2012,2012,02/02/2012,UNIV SOUTHWEST PETROLEUM,YILI KANG;;LIJUN YOU;;DAQI LI;;SONG LI;;YIJIAN CHEN;;XIANGCHEN LI;;CHENGYUAN XU,,,Patent Application
CN101950034A,CN,19/01/2011,2011,16/08/2010,PETROCHINA CO LTD,WENLING LIU,,,Patent Application
CN101900589A,CN,01/12/2010,2010,29/04/2010,UNIV CHINA PETROLEUM,WEIWEI WANG;;PING WANG;;DONGSHUN REN;;SHANGCHUN FAN;;XIAOQIAN ZHU,,,Patent Application
